"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872963243103","170.5465580143608","1754454316506"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872968977569","170.54655800239226","1754454316676"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858729755619066","170.54655799869087","1754454316894"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858729811951534","170.54655801227892","1754454317115"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872988386634","170.54655799966608","1754454317285"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872996829156","170.54655798870462","1754454317505"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587300558982","170.5465579787295","1754454317724"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858730128669926","170.54655797056878","1754454317905"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858730212241696","170.54655797082364","1754454318124"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873030418543","170.54655799527052","1754454318295"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858730403122166","170.54655801635738","1754454318515"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873050099344","170.5465580346262","1754454318676"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873058073835","170.54655805647533","1754454318907"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858730668391296","170.54655809128406","1754454319126"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873076243197","170.54655809660946","1754454319286"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873085425148","170.5465581009804","1754454319505"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873092047192","170.54655810444925","1754454319725"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873096529173","170.54655811347794","1754454319896"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873099968492","170.54655814345207","1754454320116"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873104184319","170.5465581671025","1754454320276"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731067209625","170.5465581922943","1754454320497"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731078728724","170.54655824247158","1754454320705"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731079126805","170.54655831336436","1754454320887"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731077785876","170.54655839445712","1754454321107"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873109290213","170.54655846020938","1754454321315"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731099206324","170.54655851237894","1754454321487"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587310980999","170.54655856641514","1754454321701"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873109168701","170.5465586554588","1754454321876"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731081757014","170.54655873315693","1754454322096"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873106870449","170.54655881077284","1754454322327"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873106033066","170.54655884750696","1754454322487"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731073256024","170.54655887266844","1754454322717"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873108783071","170.54655889440647","1754454322887"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731120827294","170.54655893109256","1754454323097"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873114618731","170.54655896479147","1754454323326"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731164299456","170.5465590125997","1754454323486"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731176187725","170.54655905553568","1754454323711"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731182881435","170.5465591173048","1754454323887"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731185290786","170.54655918756757","1754454324102"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873119135351","170.54655924125012","1754454324327"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873121785074","170.5465592801765","1754454324497"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873123146196","170.546559306711","1754454324717"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873121727223","170.54655932991207","1754454324890"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873120347281","170.5465593809081","1754454325108"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873118997831","170.54655946625533","1754454325327"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873117722294","170.54655953318002","1754454325488"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873117186696","170.54655959085994","1754454325702"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873119032794","170.5465596573871","1754454325922"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873120521076","170.54655970734834","1754454326090"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731223297475","170.54655974267592","1754454326308"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873126130551","170.54655977228563","1754454326529"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587312919353","170.54655982107215","1754454326701"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873131623788","170.54655988644194","1754454326912"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731341900395","170.5465599522261","1754454327088"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873138531714","170.54655997123413","1754454327299"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873142694455","170.54655996460676","1754454327519"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858731483571226","170.54655998405687","1754454327689"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85873152844911","170.54656001898508","1754454327909"
